PlateID,Num_CIL_images,Num_CIL_wells,Num_CIL_complete wells,Num_CIL_sites,Num_CIL_complete_sites,Num_QC_stats,Num_blurry_sites,Num_saturated_sites,Num_well_profiles
25724,11520,384,384,2304,2304,2304,1,56,382
25725,11520,384,384,2304,2304,2304,0,31,384
25726,11520,384,384,2304,2304,2304,0,22,383
25732,2365,116,47,473,473,473,0,3,383
25738,11520,384,384,2304,2304,2304,6,39,383
25739,11520,384,384,2304,2304,2304,0,16,382
25740,11520,384,384,2304,2304,2304,0,8,384
25741,11520,384,384,2304,2304,2304,0,12,382
25742,11520,384,384,2304,2304,2304,0,13,384
25847,11520,384,384,2304,2304,2304,0,5,384
25848,11520,384,384,2304,2304,2304,0,8,384
25849,11520,384,384,2304,2304,2304,0,4,384
25852,11520,384,384,2304,2304,2304,0,1,384
25853,11520,384,384,2304,2304,2304,0,4,384
25854,11520,384,384,2304,2304,2304,0,6,384
25855,11520,384,384,2304,2304,2304,0,11,384
25856,11520,384,384,2304,2304,2304,0,12,384
25857,11520,384,384,2304,2304,2304,0,7,384
25858,11520,384,384,2304,2304,2304,0,18,384
25859,11520,384,384,2304,2304,2304,0,11,384
25862,11520,384,384,2304,2304,2304,0,13,383
25885,11520,384,384,2304,2304,2304,0,6,384
25890,11520,384,384,2304,2304,2304,0,18,384
25891,11520,384,384,2304,2304,2304,0,14,384
25892,11520,384,384,2304,2304,2304,0,16,384
25903,11520,384,384,2304,2304,2304,0,13,384
25904,11520,384,384,2304,2304,2304,0,18,384
25908,11520,384,384,2304,2304,2304,0,17,384
25909,11520,384,384,2304,2304,2304,0,11,384
25911,11520,384,384,2304,2304,2304,2,16,384
25912,11520,384,384,2304,2304,2304,0,3,384
25913,11520,384,384,2304,2304,2304,0,10,384
25914,11520,384,384,2304,2304,2304,0,20,384
25915,11520,384,384,2304,2304,2304,0,16,384
25918,11520,384,384,2304,2304,2304,0,21,384
25923,11520,384,384,2304,2304,2304,0,19,384
25925,11520,384,384,2304,2304,2304,0,7,384
25929,11520,384,384,2304,2304,2304,0,16,384
25931,11520,384,384,2304,2304,2304,0,22,384
25935,11520,384,384,2304,2304,2304,0,12,384
25937,11520,384,384,2304,2304,2304,0,11,384
25938,11520,384,384,2304,2304,2304,0,20,384
25939,11520,384,384,2304,2304,2304,0,8,384
25943,11520,384,384,2304,2304,2304,1,29,383
25944,11520,384,384,2304,2304,2304,0,41,384
25945,11520,384,384,2304,2304,2304,0,27,382
25949,11520,384,384,2304,2304,2304,0,24,384
25955,11520,384,384,2304,2304,2304,0,40,384
25962,11520,384,384,2304,2304,2304,0,20,384
